"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 21:19:08 GMT 2024","Fri May 17 21:19:10 GMT 2024","2199","","GUI Tests","","LoginTest","InvalidUserNameLoginTest","InvalidUserNameLoginTest","Проверка некорректной авторизации,указание неправильного логина и проверка ошибки)
"
"passed","Fri May 17 21:19:07 GMT 2024","Fri May 17 21:19:19 GMT 2024","11979","","GUI Tests","","DeleteProjectTest","DeleteExcessCorrectTest","DeleteExcessCorrectTest","Тест на удаление Проекта(дополнительный тест, позволяющий почистить проекты)
"
"passed","Fri May 17 21:18:48 GMT 2024","Fri May 17 21:19:08 GMT 2024","19421","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestCorrectTest","BoundaryValuesTestCorrectTest","Тест на проверку поля Summary для ввода на корректные граничные значения от (0-80)
"
"passed","Fri May 17 21:19:14 GMT 2024","Fri May 17 21:19:14 GMT 2024","56","","API Tests","","GetApiTest","GetCorrectMilestonesApiTest","GetCorrectMilestonesApiTest","Тест получения Milestones по id
"
"passed","Fri May 17 21:19:13 GMT 2024","Fri May 17 21:19:14 GMT 2024","193","","API Tests","","GetApiTest","GetUserApiTest","GetUserApiTest","Тест получения пользоваетля
"
"passed","Fri May 17 21:19:14 GMT 2024","Fri May 17 21:19:14 GMT 2024","51","","API Tests","","GetApiTest","GetCorrectProjectByIdApiTest","GetCorrectProjectByIdApiTest","Тест получения проектов по id
"
"passed","Fri May 17 21:18:48 GMT 2024","Fri May 17 21:19:07 GMT 2024","19031","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestIncorrectTest","BoundaryValuesTestIncorrectTest","Тест на проверку поля Summary для ввода на некорректные граничные значения от (80+)
"
"passed","Fri May 17 21:19:10 GMT 2024","Fri May 17 21:19:19 GMT 2024","8925","","GUI Tests","","UploadFileTes","UploadFileCorrectTest","UploadFileCorrectTest","Проверка создания проекта с загрузкой своего файла, а так же проверка на созданном проекте
"
"passed","Fri May 17 21:19:14 GMT 2024","Fri May 17 21:19:14 GMT 2024","45","","API Tests","","GetApiTest","GetIncorrectProjectByIdApiTest","GetIncorrectProjectByIdApiTest","Тест получения проектов по несуществующему id
"
"passed","Fri May 17 21:19:08 GMT 2024","Fri May 17 21:19:10 GMT 2024","2233","","GUI Tests","","LoginTest","SuccesfullLoginTest","SuccesfullLoginTest","Проверка авторизации 
"
"passed","Fri May 17 21:19:10 GMT 2024","Fri May 17 21:19:12 GMT 2024","2208","","GUI Tests","","PopUpMessTest","PopUpMessCorrectTest","PopUpMessCorrectTest","Проверка всплывающего окна при наведении курсором
"
"passed","Fri May 17 21:19:14 GMT 2024","Fri May 17 21:19:14 GMT 2024","89","","API Tests","","GetApiTest","GetAllProjectsApiTest","GetAllProjectsApiTest","Тест получения всех проектов
"
"passed","Fri May 17 21:18:49 GMT 2024","Fri May 17 21:19:07 GMT 2024","18344","","GUI Tests","","DialogWindowTest","SuccesfullLoginAndAddProjectTest","SuccesfullLoginAndAddProjectTest","Проверка на отображения диалогового окна (окна создания проекта)
"
"passed","Fri May 17 21:19:12 GMT 2024","Fri May 17 21:19:15 GMT 2024","3124","","API Tests","","PostApiTest","PostAutomationRunsApiTest","PostAutomationRunsApiTest","Тест добавления автоматического запуска по id проекта
"
"passed","Fri May 17 21:19:14 GMT 2024","Fri May 17 21:19:14 GMT 2024","65","","API Tests","","GetApiTest","GetInCorrectMilestonesApiTest","GetInCorrectMilestonesApiTest","Тест получения Milestones по несуществующему id
"
"passed","Fri May 17 21:19:07 GMT 2024","Fri May 17 21:19:13 GMT 2024","6011","","GUI Tests","","DeleteProjectTest","DeleteProjectCorrectTest","DeleteProjectCorrectTest","Тест на удаление создание и удаление созданого Проекта
"
"passed","Fri May 17 21:18:49 GMT 2024","Fri May 17 21:19:08 GMT 2024","19640","","GUI Tests","","CreateProjectTest","AddProjectCorrectTest","AddProjectCorrectTest","Тест на создание Проекта
"
