"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 21:22:12 GMT 2024","Fri May 17 21:22:25 GMT 2024","13334","","GUI Tests","","DialogWindowTest","SuccesfullLoginAndAddProjectTest","SuccesfullLoginAndAddProjectTest","Проверка на отображения диалогового окна (окна создания проекта)
"
"passed","Fri May 17 21:22:34 GMT 2024","Fri May 17 21:22:34 GMT 2024","76","","API Tests","","GetApiTest","GetCorrectMilestonesApiTest","GetCorrectMilestonesApiTest","Тест получения Milestones по id
"
"passed","Fri May 17 21:22:12 GMT 2024","Fri May 17 21:22:26 GMT 2024","13998","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestIncorrectTest","BoundaryValuesTestIncorrectTest","Тест на проверку поля Summary для ввода на некорректные граничные значения от (80+)
"
"passed","Fri May 17 21:22:33 GMT 2024","Fri May 17 21:22:33 GMT 2024","72","","API Tests","","GetApiTest","GetAllProjectsApiTest","GetAllProjectsApiTest","Тест получения всех проектов
"
"passed","Fri May 17 21:22:34 GMT 2024","Fri May 17 21:22:34 GMT 2024","45","","API Tests","","GetApiTest","GetInCorrectMilestonesApiTest","GetInCorrectMilestonesApiTest","Тест получения Milestones по несуществующему id
"
"passed","Fri May 17 21:22:33 GMT 2024","Fri May 17 21:22:33 GMT 2024","69","","API Tests","","GetApiTest","GetCorrectProjectByIdApiTest","GetCorrectProjectByIdApiTest","Тест получения проектов по id
"
"passed","Fri May 17 21:22:29 GMT 2024","Fri May 17 21:22:30 GMT 2024","1816","","GUI Tests","","LoginTest","SuccesfullLoginTest","SuccesfullLoginTest","Проверка авторизации 
"
"passed","Fri May 17 21:22:33 GMT 2024","Fri May 17 21:22:33 GMT 2024","195","","API Tests","","GetApiTest","GetUserApiTest","GetUserApiTest","Тест получения пользоваетля
"
"passed","Fri May 17 21:22:12 GMT 2024","Fri May 17 21:22:26 GMT 2024","14322","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestCorrectTest","BoundaryValuesTestCorrectTest","Тест на проверку поля Summary для ввода на корректные граничные значения от (0-80)
"
"passed","Fri May 17 21:22:33 GMT 2024","Fri May 17 21:22:34 GMT 2024","801","","API Tests","","GetApiTest","GetIncorrectProjectByIdApiTest","GetIncorrectProjectByIdApiTest","Тест получения проектов по несуществующему id
"
"passed","Fri May 17 21:22:30 GMT 2024","Fri May 17 21:22:32 GMT 2024","2112","","GUI Tests","","PopUpMessTest","PopUpMessCorrectTest","PopUpMessCorrectTest","Проверка всплывающего окна при наведении курсором
"
"failed","Fri May 17 21:22:26 GMT 2024","Fri May 17 21:22:33 GMT 2024","6655","","GUI Tests","","FailedTest","FailedCreateTest","FailedCreateTest","Проверка на загрузку некорректного файла при создании проекта
"
"passed","Fri May 17 21:22:26 GMT 2024","Fri May 17 21:22:32 GMT 2024","5976","","GUI Tests","","DeleteProjectTest","DeleteProjectCorrectTest","DeleteProjectCorrectTest","Тест на удаление создание и удаление созданого Проекта
"
"passed","Fri May 17 21:22:25 GMT 2024","Fri May 17 21:22:39 GMT 2024","13473","","GUI Tests","","DeleteProjectTest","DeleteExcessCorrectTest","DeleteExcessCorrectTest","Тест на удаление Проекта(дополнительный тест, позволяющий почистить проекты)
"
"passed","Fri May 17 21:22:33 GMT 2024","Fri May 17 21:22:36 GMT 2024","3260","","API Tests","","PostApiTest","PostAutomationRunsApiTest","PostAutomationRunsApiTest","Тест добавления автоматического запуска по id проекта
"
"passed","Fri May 17 21:22:26 GMT 2024","Fri May 17 21:22:29 GMT 2024","2144","","GUI Tests","","LoginTest","InvalidUserNameLoginTest","InvalidUserNameLoginTest","Проверка некорректной авторизации,указание неправильного логина и проверка ошибки)
"
"passed","Fri May 17 21:22:32 GMT 2024","Fri May 17 21:22:41 GMT 2024","8809","","GUI Tests","","UploadFileTes","UploadFileCorrectTest","UploadFileCorrectTest","Проверка создания проекта с загрузкой своего файла, а так же проверка на созданном проекте
"
"passed","Fri May 17 21:22:12 GMT 2024","Fri May 17 21:22:26 GMT 2024","14483","","GUI Tests","","CreateProjectTest","AddProjectCorrectTest","AddProjectCorrectTest","Тест на создание Проекта
"
