"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 21:07:04 GMT 2024","Fri May 17 21:07:04 GMT 2024","30","","API Tests","","GetApiTest","GetIncorrectProjectByIdApiTest","GetIncorrectProjectByIdApiTest","Тест получения проектов по несуществующему id
"
"passed","Fri May 17 21:06:50 GMT 2024","Fri May 17 21:06:56 GMT 2024","5696","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestCorrectTest","BoundaryValuesTestCorrectTest","Тест на проверку поля Summary для ввода на корректные граничные значения от (0-80)
"
"passed","Fri May 17 21:07:02 GMT 2024","Fri May 17 21:07:06 GMT 2024","3149","","API Tests","","PostApiTest","PostAutomationRunsApiTest","PostAutomationRunsApiTest","Тест добавления автоматического запуска по id проекта
"
"passed","Fri May 17 21:06:50 GMT 2024","Fri May 17 21:06:56 GMT 2024","5407","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestIncorrectTest","BoundaryValuesTestIncorrectTest","Тест на проверку поля Summary для ввода на некорректные граничные значения от (80+)
"
"passed","Fri May 17 21:07:03 GMT 2024","Fri May 17 21:07:03 GMT 2024","117","","API Tests","","GetApiTest","GetUserApiTest","GetUserApiTest","Тест получения пользоваетля
"
"passed","Fri May 17 21:07:01 GMT 2024","Fri May 17 21:07:03 GMT 2024","1686","","GUI Tests","","LoginTest","SuccesfullLoginTest","SuccesfullLoginTest","Проверка авторизации 
"
"passed","Fri May 17 21:06:56 GMT 2024","Fri May 17 21:07:01 GMT 2024","5339","","GUI Tests","","DeleteProjectTest","DeleteProjectCorrectTest","DeleteProjectCorrectTest","Тест на удаление создание и удаление созданого Проекта
"
"passed","Fri May 17 21:07:00 GMT 2024","Fri May 17 21:07:02 GMT 2024","1626","","GUI Tests","","LoginTest","InvalidUserNameLoginTest","InvalidUserNameLoginTest","Проверка некорректной авторизации,указание неправильного логина и проверка ошибки)
"
"passed","Fri May 17 21:07:04 GMT 2024","Fri May 17 21:07:04 GMT 2024","43","","API Tests","","GetApiTest","GetCorrectMilestonesApiTest","GetCorrectMilestonesApiTest","Тест получения Milestones по id
"
"passed","Fri May 17 21:06:50 GMT 2024","Fri May 17 21:06:56 GMT 2024","5815","","GUI Tests","","CreateProjectTest","AddProjectCorrectTest","AddProjectCorrectTest","Тест на создание Проекта
"
"passed","Fri May 17 21:06:50 GMT 2024","Fri May 17 21:07:06 GMT 2024","15567","","GUI Tests","","DeleteProjectTest","DeleteExcessCorrectTest","DeleteExcessCorrectTest","Тест на удаление Проекта(дополнительный тест, позволяющий почистить проекты)
"
"passed","Fri May 17 21:07:04 GMT 2024","Fri May 17 21:07:04 GMT 2024","46","","API Tests","","GetApiTest","GetCorrectProjectByIdApiTest","GetCorrectProjectByIdApiTest","Тест получения проектов по id
"
"passed","Fri May 17 21:07:02 GMT 2024","Fri May 17 21:07:11 GMT 2024","8534","","GUI Tests","","UploadFileTes","UploadFileCorrectTest","UploadFileCorrectTest","Проверка создания проекта с загрузкой своего файла, а так же проверка на созданном проекте
"
"passed","Fri May 17 21:07:03 GMT 2024","Fri May 17 21:07:04 GMT 2024","767","","API Tests","","GetApiTest","GetAllProjectsApiTest","GetAllProjectsApiTest","Тест получения всех проектов
"
"passed","Fri May 17 21:06:56 GMT 2024","Fri May 17 21:06:59 GMT 2024","2628","","GUI Tests","","DialogWindowTest","SuccesfullLoginAndAddProjectTest","SuccesfullLoginAndAddProjectTest","Проверка на отображения диалогового окна (окна создания проекта)
"
"passed","Fri May 17 21:07:04 GMT 2024","Fri May 17 21:07:04 GMT 2024","40","","API Tests","","GetApiTest","GetInCorrectMilestonesApiTest","GetInCorrectMilestonesApiTest","Тест получения Milestones по несуществующему id
"
"failed","Fri May 17 21:06:56 GMT 2024","Fri May 17 21:07:02 GMT 2024","6120","","GUI Tests","","FailedTest","FailedCreateTest","FailedCreateTest","Проверка на загрузку некорректного файла при создании проекта
"
"passed","Fri May 17 21:06:59 GMT 2024","Fri May 17 21:07:00 GMT 2024","1861","","GUI Tests","","PopUpMessTest","PopUpMessCorrectTest","PopUpMessCorrectTest","Проверка всплывающего окна при наведении курсором
"
