"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 20:41:46 GMT 2024","Sun May 12 20:41:51 GMT 2024","4894","","GUI Tests","","DialogWindowTest","SuccesfullLoginAndAddProjectTest","SuccesfullLoginAndAddProjectTest","Проверка на отображения диалогового окна (окна создания проекта)
"
"passed","Sun May 12 20:41:46 GMT 2024","Sun May 12 20:41:52 GMT 2024","6098","","GUI Tests","","CreateProjectTest","AddProjectCorrectTest","AddProjectCorrectTest","Тест на создание Проекта
"
"passed","Sun May 12 20:41:51 GMT 2024","Sun May 12 20:42:04 GMT 2024","13447","","GUI Tests","","DeleteProjectTest","DeleteExcessCorrectTest","DeleteExcessCorrectTest","Тест на удаление Проекта(дополнительный тест, позволяющий почистить проекты)
"
"passed","Sun May 12 20:41:46 GMT 2024","Sun May 12 20:41:52 GMT 2024","5819","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestCorrectTest","BoundaryValuesTestCorrectTest","Тест на проверку поля Summary для ввода на корректные граничные значения от (0-80)
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:59 GMT 2024","56","","API Tests","","GetApiTest","GetInCorrectMilestonesApiTest","GetInCorrectMilestonesApiTest","Тест получения Milestones по несуществующему id
"
"passed","Sun May 12 20:41:46 GMT 2024","Sun May 12 20:41:51 GMT 2024","5498","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestIncorrectTest","BoundaryValuesTestIncorrectTest","Тест на проверку поля Summary для ввода на некорректные граничные значения от (80+)
"
"failed","Sun May 12 20:41:52 GMT 2024","Sun May 12 20:41:58 GMT 2024","6324","","GUI Tests","","FailedTest","FailedCreateTest","FailedCreateTest","Проверка на загрузку некорректного файла при создании проекта
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:58 GMT 2024","75","","API Tests","","GetApiTest","GetAllProjectsApiTest","GetAllProjectsApiTest","Тест получения всех проектов
"
"passed","Sun May 12 20:41:52 GMT 2024","Sun May 12 20:41:54 GMT 2024","2141","","GUI Tests","","LoginTest","InvalidUserNameLoginTest","InvalidUserNameLoginTest","Проверка некорректной авторизации,указание неправильного логина и проверка ошибки)
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:42:01 GMT 2024","3121","","API Tests","","PostApiTest","PostAutomationRunsApiTest","PostAutomationRunsApiTest","Тест добавления автоматического запуска по id проекта
"
"passed","Sun May 12 20:41:57 GMT 2024","Sun May 12 20:42:06 GMT 2024","8797","","GUI Tests","","UploadFileTes","UploadFileCorrectTest","UploadFileCorrectTest","Проверка создания проекта с загрузкой своего файла, а так же проверка на созданном проекте
"
"passed","Sun May 12 20:41:54 GMT 2024","Sun May 12 20:41:56 GMT 2024","1810","","GUI Tests","","LoginTest","SuccesfullLoginTest","SuccesfullLoginTest","Проверка авторизации 
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:58 GMT 2024","213","","API Tests","","GetApiTest","GetUserApiTest","GetUserApiTest","Тест получения пользоваетля
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:58 GMT 2024","57","","API Tests","","GetApiTest","GetCorrectMilestonesApiTest","GetCorrectMilestonesApiTest","Тест получения Milestones по id
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:58 GMT 2024","47","","API Tests","","GetApiTest","GetCorrectProjectByIdApiTest","GetCorrectProjectByIdApiTest","Тест получения проектов по id
"
"passed","Sun May 12 20:41:58 GMT 2024","Sun May 12 20:41:58 GMT 2024","44","","API Tests","","GetApiTest","GetIncorrectProjectByIdApiTest","GetIncorrectProjectByIdApiTest","Тест получения проектов по несуществующему id
"
"passed","Sun May 12 20:41:51 GMT 2024","Sun May 12 20:41:57 GMT 2024","5272","","GUI Tests","","DeleteProjectTest","DeleteProjectCorrectTest","DeleteProjectCorrectTest","Тест на удаление создание и удаление созданого Проекта
"
"passed","Sun May 12 20:41:56 GMT 2024","Sun May 12 20:41:58 GMT 2024","2140","","GUI Tests","","PopUpMessTest","PopUpMessCorrectTest","PopUpMessCorrectTest","Проверка всплывающего окна при наведении курсором
"
