"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 20:58:11 GMT 2024","Fri May 17 20:58:17 GMT 2024","5419","","GUI Tests","","DeleteProjectTest","DeleteProjectCorrectTest","DeleteProjectCorrectTest","Тест на удаление создание и удаление созданого Проекта
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","39","","API Tests","","GetApiTest","GetInCorrectMilestonesApiTest","GetInCorrectMilestonesApiTest","Тест получения Milestones по несуществующему id
"
"passed","Fri May 17 20:58:02 GMT 2024","Fri May 17 20:58:11 GMT 2024","9442","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestIncorrectTest","BoundaryValuesTestIncorrectTest","Тест на проверку поля Summary для ввода на некорректные граничные значения от (80+)
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","181","","API Tests","","GetApiTest","GetUserApiTest","GetUserApiTest","Тест получения пользоваетля
"
"passed","Fri May 17 20:58:16 GMT 2024","Fri May 17 20:58:17 GMT 2024","1566","","GUI Tests","","LoginTest","SuccesfullLoginTest","SuccesfullLoginTest","Проверка авторизации 
"
"passed","Fri May 17 20:58:14 GMT 2024","Fri May 17 20:58:16 GMT 2024","1484","","GUI Tests","","LoginTest","InvalidUserNameLoginTest","InvalidUserNameLoginTest","Проверка некорректной авторизации,указание неправильного логина и проверка ошибки)
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:21 GMT 2024","3051","","API Tests","","PostApiTest","PostAutomationRunsApiTest","PostAutomationRunsApiTest","Тест добавления автоматического запуска по id проекта
"
"passed","Fri May 17 20:58:02 GMT 2024","Fri May 17 20:58:12 GMT 2024","10118","","GUI Tests","","CreateProjectTest","AddProjectCorrectTest","AddProjectCorrectTest","Тест на создание Проекта
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","69","","API Tests","","GetApiTest","GetCorrectMilestonesApiTest","GetCorrectMilestonesApiTest","Тест получения Milestones по id
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","48","","API Tests","","GetApiTest","GetCorrectProjectByIdApiTest","GetCorrectProjectByIdApiTest","Тест получения проектов по id
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","32","","API Tests","","GetApiTest","GetIncorrectProjectByIdApiTest","GetIncorrectProjectByIdApiTest","Тест получения проектов по несуществующему id
"
"passed","Fri May 17 20:58:02 GMT 2024","Fri May 17 20:58:21 GMT 2024","19130","","GUI Tests","","DeleteProjectTest","DeleteExcessCorrectTest","DeleteExcessCorrectTest","Тест на удаление Проекта(дополнительный тест, позволяющий почистить проекты)
"
"passed","Fri May 17 20:58:17 GMT 2024","Fri May 17 20:58:26 GMT 2024","8715","","GUI Tests","","UploadFileTes","UploadFileCorrectTest","UploadFileCorrectTest","Проверка создания проекта с загрузкой своего файла, а так же проверка на созданном проекте
"
"passed","Fri May 17 20:58:17 GMT 2024","Fri May 17 20:58:19 GMT 2024","1990","","GUI Tests","","PopUpMessTest","PopUpMessCorrectTest","PopUpMessCorrectTest","Проверка всплывающего окна при наведении курсором
"
"passed","Fri May 17 20:58:18 GMT 2024","Fri May 17 20:58:18 GMT 2024","58","","API Tests","","GetApiTest","GetAllProjectsApiTest","GetAllProjectsApiTest","Тест получения всех проектов
"
"failed","Fri May 17 20:58:12 GMT 2024","Fri May 17 20:58:18 GMT 2024","5969","","GUI Tests","","FailedTest","FailedCreateTest","FailedCreateTest","Проверка на загрузку некорректного файла при создании проекта
"
"passed","Fri May 17 20:58:12 GMT 2024","Fri May 17 20:58:14 GMT 2024","2590","","GUI Tests","","DialogWindowTest","SuccesfullLoginAndAddProjectTest","SuccesfullLoginAndAddProjectTest","Проверка на отображения диалогового окна (окна создания проекта)
"
"passed","Fri May 17 20:58:02 GMT 2024","Fri May 17 20:58:12 GMT 2024","9804","","GUI Tests","","BoundaryValuesTest","BoundaryValuesTestCorrectTest","BoundaryValuesTestCorrectTest","Тест на проверку поля Summary для ввода на корректные граничные значения от (0-80)
"
